"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"48",20150217,23.1534246575342,1973.20887534247,1.87,7092,829.571895015457,12625,22980,2258,4860,14086,2802.78077035792,2279,2397,33600,4,1524,0,1,8989,29799,20810,72,0,82
"49",20150218,23.1561643835616,1973.19036849315,1.87,3121,312.809467419042,5189,29040,481,5940,6029,2285.99983591219,7677,2663,33000,0,6338,0,1,8897,25518,16621,66,0,82
"50",20150219,23.158904109589,1973.17186164384,1.87,5148,506.888324759288,8323,27420,537,6780,9776,2480.06018640312,1437,899,30300,1,827,0,1,11116,28717,17601,77,0,82
"51",20150220,23.1616438356164,1973.15335479452,1.87,4423,401.679870242224,6757,25080,581,6660,8133,2374.83322503674,5217,2151,26400,1,4351,0,1,7357,20438,13081,52,0,82
"52",20150221,23.1643835616438,1973.13484794521,1.87,4932,529.553956612462,8379,27120,982,4920,9598,2502.68880455767,7139,1151,33300,0,6211,0,1,9003,26345,17342,67,0,82
"53",20150222,23.1671232876712,1973.11634109589,1.87,6500,656.37316472667,10604,20520,844,6660,12400,2629.48950582256,13859,1919,28800,0,12769,0,1,8351,14952,6601,45,0,82
"54",20150223,23.1698630136986,1973.09783424658,1.87,3268,311.008817164925,5219,27420,652,5220,6177,2284.1066514115,1978,2137,33000,2,1303,0,1,13628,29562,15934,82,0,82
"55",20150224,23.172602739726,1973.07932739726,1.87,5320,554.9463314115,8922,21960,675,5160,10308,2528.02565880876,8158,1794,38400,1,7478,0,1,9841,29146,19305,76,0,82
"56",20150225,23.1753424657534,1973.06082054795,1.87,5824,622.532367603067,9827,28440,1121,7140,11334,2595.59318815101,6780,2492,35700,2,6067,0,1,10380,27206,16826,71,0,82
"57",20150226,23.1780821917808,1973.04231369863,1.87,4102,382.308942650768,6549,29100,770,11100,7750,2355.3512563494,5459,1649,39600,3,5157,0,1,11882,32811,20929,88,0,82
"58",20150227,23.1808219178082,1973.02380684932,1.87,6683,611.371049575526,10210,24600,794,6840,12285,2584.39485642484,2159,2631,28200,3,1773,0,1,8008,24027,16019,61,0,82
